Genus,fold_0,fold_1,fold_2,mean_importance,std_importance
g__Cutibacterium_ASV-1,0.0195789709019348,0.02037815277085398,0.01810806133825611,0.019355061670348297,0.0009401880259043255
g__Staphylococcus_ASV-1,0.014163801595715907,0.013546602846677431,0.01434481374156818,0.014018406061320507,0.00034170167714656774
g__Cutibacterium_ASV-2,0.014978020972091373,0.012292346418127436,0.009827931705471676,0.012366099698563495,0.0021031618297726816
g__Staphylococcus_ASV-2,0.013927950674259063,0.011732934190279437,0.01061529657445225,0.012092060479663583,0.001376020364441564
g__Sphingomonas_L_486704_ASV-1,0.015610440116140378,0.010621004301801107,0.00881962387227198,0.011683689430071156,0.0028723708065964684
g___ASV-6,0.004455882977667722,0.020679331837035603,0.008062913942139772,0.011066042918947699,0.006955293473877232
g__Brachybacterium_ASV-1,0.015830658564096066,0.006822483533932118,0.01044854827812011,0.011033896792049433,0.003700790816891867
g__Streptococcus_ASV-1,0.010299531023439473,0.012198015967812064,0.009971571038494003,0.010823039343248514,0.000981430920137697
g__Micrococcus_ASV-1,0.011873371026139178,0.008736652318816991,0.0066446738931652495,0.009084899079373807,0.0021487632538697205
g__Escherichia_710834_ASV-1,0.00792219583148053,0.007572947333894858,0.011347667227335993,0.008947603464237126,0.001703080185716785
g___ASV-35,0.006983652543045041,0.005472047946067273,0.01306725667625604,0.008507652388456117,0.003282654470637409
g___ASV-51,0.004658397568868055,0.006284746788531827,0.013709031909389525,0.008217392088929803,0.00393952906528343
g__Corynebacterium_ASV-2,0.009406901023370402,0.006924456882712559,0.00776184061102848,0.00803106617237048,0.0010311786233986654
g__Prevotella_ASV-1,0.006158990278865934,0.007407659615810434,0.010152041036484758,0.007906230310387043,0.0016678415474994453
g___ASV-32,0.0065681220441277345,0.009950705725740422,0.0069034147948661305,0.007807414188244762,0.0015217050235837015
g__Acinetobacter_ASV-1,0.006001846612576891,0.008426806002636582,0.008098609835107492,0.007509087483440323,0.0010741692800162862
g___ASV-21,0.004838529072705817,0.010917002680285996,0.0057648027107355835,0.007173444821242467,0.00267396893476497
g__Acinetobacter_ASV-2,0.009429039525721133,0.006413936497768123,0.00486377218760465,0.006902249403697969,0.0018954777036746396
g___ASV-7,0.005086440394156653,0.005498698695465252,0.009901576202637848,0.006828905097419918,0.0021792154578166192
g__Streptococcus_ASV-3,0.007252769314569359,0.0049845317073337865,0.006780969300016729,0.006339423440639958,0.0009772231134423763
g__Psychrobacter_ASV-1,0.008303916501932396,0.0036977737222825967,0.006902861584446877,0.006301517269553956,0.0019279261855545756
g__Corynebacterium_ASV-5,0.00440417020211481,0.00574167439908625,0.008700928758919787,0.006282257786706949,0.0017953098754064341
g__Massilia_ASV-1,0.004733147967310734,0.006054451947513903,0.00805340075627541,0.006280333557033349,0.001364865444356146
g__Micrococcus_ASV-2,0.009765971270271949,0.005072587891508024,0.0037602974034403164,0.006199618855073429,0.002578071468276559
g__Prevotella_ASV-2,0.006357984891314058,0.005672453758666315,0.006305754708603023,0.006112064452861132,0.0003115821666209881
